question,group1,group2,p.value
Q39,Post,Pre,0.7501781666702636
Q15,Post,Pre,0.6193628428927038
Q17_1,Post,Pre,0.06189536506327344
Q17_2,Post,Pre,0.5450556557098546
Q17_3,Post,Pre,0.07118303388514047
Q17_4,Post,Pre,0.23058210009747718
